epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,404.345,1.43557,1.40668,1.68122,0.30255,0.38889,0.23821,0.07417,2.407,3.13918,2.55729,0.0005644,0.0005644,0.0005644
68,408.961,1.47195,1.40656,1.75625,0.24266,0.55556,0.25178,0.09255,2.46386,2.94919,2.61716,0.0005578,0.0005578,0.0005578
69,413.669,1.49707,1.33141,1.82759,0.41637,0.33333,0.30198,0.12234,2.33509,2.71377,2.55245,0.0005512,0.0005512,0.0005512
70,418.932,1.35373,1.31801,1.69789,0.3421,0.41667,0.33475,0.14642,2.28757,2.51833,2.53084,0.0005446,0.0005446,0.0005446
71,423.596,1.3886,1.28822,1.73286,0.63343,0.36111,0.38004,0.16703,2.28942,2.4729,2.54692,0.000538,0.000538,0.000538
72,428.784,1.44264,1.21526,1.71614,0.5326,0.31684,0.3516,0.16601,2.23767,2.41916,2.47592,0.0005314,0.0005314,0.0005314
73,433.951,1.44222,1.30246,1.74638,0.60283,0.33333,0.37902,0.14437,2.28727,2.47527,2.4525,0.0005248,0.0005248,0.0005248
74,441.037,1.4309,1.19861,1.77081,0.33415,0.50186,0.33401,0.12521,2.2962,2.45929,2.43412,0.0005182,0.0005182,0.0005182
75,446.354,1.39226,1.2722,1.65821,0.45136,0.33333,0.32438,0.13634,2.21756,2.21605,2.36516,0.0005116,0.0005116,0.0005116
76,450.933,1.29638,1.07704,1.62185,0.41721,0.47222,0.34822,0.14234,2.25249,2.28914,2.42489,0.000505,0.000505,0.000505
77,455.781,1.46637,1.20416,1.76836,0.49438,0.47222,0.38794,0.16786,2.27436,2.48003,2.35848,0.0004984,0.0004984,0.0004984
78,461.293,1.45767,1.17295,1.80446,0.51785,0.44761,0.41848,0.17874,2.30707,2.42878,2.39061,0.0004918,0.0004918,0.0004918
79,466.162,1.41176,1.20765,1.68119,0.39195,0.46567,0.34127,0.15264,2.47877,2.43542,2.52682,0.0004852,0.0004852,0.0004852
80,470.97,1.31924,1.16117,1.64404,0.55538,0.27778,0.34929,0.15699,2.40485,2.56816,2.5233,0.0004786,0.0004786,0.0004786
81,478.848,1.34804,1.15757,1.65772,0.56947,0.33333,0.34957,0.14395,2.4873,2.44554,2.58452,0.000472,0.000472,0.000472
82,483.621,1.47036,1.20372,1.70126,0.54068,0.35974,0.35299,0.13449,2.45903,2.43906,2.56352,0.0004654,0.0004654,0.0004654
83,488.973,1.50021,1.26434,1.69944,0.63044,0.33179,0.3488,0.12164,2.40485,2.49726,2.47848,0.0004588,0.0004588,0.0004588
84,493.643,1.36551,1.13084,1.66682,0.64199,0.33333,0.32787,0.09948,2.48411,2.53862,2.62505,0.0004522,0.0004522,0.0004522
85,498.593,1.3766,1.14356,1.65619,0.47789,0.33333,0.30485,0.10211,2.4322,2.48265,2.65085,0.0004456,0.0004456,0.0004456
86,504.032,1.26995,1.07751,1.58523,0.32416,0.51971,0.31044,0.11279,2.35155,2.34483,2.56024,0.000439,0.000439,0.000439
87,509.217,1.29394,1.08205,1.54519,0.44231,0.4407,0.40958,0.15597,2.27043,2.27105,2.48101,0.0004324,0.0004324,0.0004324
